AMCC.US,APPLIED MICRO CIRCUITS
AMCF.US,ANDATEE CHINA MARINE FUEL SERVICES
AMCN.US,AIRMEDIA GROUP
AMCX.US,AMC NETWORKS
AMD.US,ADVANCED MICRO DEVICES
AMDA.US,AMEDICA
AMED.US,AMEDISYS
AMEH.US,APOLLO MEDICAL HOLDINGS
AMGN.US,AMGEN
AMIC.US,AMERICAN INDEPENDENCE
AMKR.US,AMKOR TECHNOLOGY
AMNB.US,AMERICAN NATIONAL BANKSHARES
AMOT.US,ALLIED MOTION TECHNOLOGIES
AMOV.US,AMERICA MOVIL SAB DE CV
AMPH.US,AMPHASTAR PHARMACEUTICALS
AMRB.US,AMERICAN RIVER BANKSHARES
AMRI.US,ALBANY MOLECULAR RESEARCH
AMRK.US,A-MARK PRECIOUS METALS
AMRN.US,AMARIN
AMRS.US,AMYRIS
AMSC.US,AMERICAN SUPERCONDUCTOR
AMSF.US,AMERISAFE
AMSG.US,AMSURG
AMSGP.US,AMSURG
AMSWA.US,AMERICAN SOFTWARE
AMTX.US,AEMETIS
AMWD.US,AMERICAN WOODMARK
AMZN.US,AMAZON.COM
ANAC.US,ANACOR PHARMACEUTICALS
ANAD.US,ANADIGICS
ANAT.US,AMERICAN NATIONAL INSURANCE
ANCB.US,ANCHOR BANCORP
ANCX.US,ACCESS NATIONAL
ANDA.US,ANDINA ACQUISITION II
ANDAR.US,ANDINA ACQUISITION II
ANDAU.US,ANDINA ACQUISITION II
ANDAW.US,ANDINA ACQUISITION II
ANDE.US,THE ANDERSONS
ANGI.US,ANGIE'S LIST
ANGO.US,ANGIODYNAMICS
ANIK.US,ANIKA THERAPEUTICS
ANIP.US,ANI PHARMACEUTICALS
ANSS.US,ANSYS
ANTE.US,ANTERIOS
ANTH.US,ANTHERA PHARMACEUTICALS
ANY.US,SPHERE 3D
AOSL.US,ALPHA & OMEGA SEMICONDUCTOR
APDN.US,APPLIED DNA SCIENCES
APDNW.US,APPLIED DNA SCIENCES
APEI.US,AMERICAN PUBLIC EDUCATION
APIC.US,APIGEE
APLP.US,ARCHROCK PARTNERS
APOG.US,APOGEE ENTERPRISES
APOL.US,APOLLO EDUCATION GROUP
APPF.US,APPFOLIO
APPS.US,DIGITAL TURBINE
APPY.US,VENAXIS
APRI.US,APRICUS BIOSCIENCES
APTO.US,APTOSE BIOSCIENCES
APWC.US,ASIA PACIFIC WIRE & CABLE
AQMS.US,AQUA METALS
AQXP.US,AQUINOX PHARMACEUTICALS
ARAY.US,ACCURAY
ARCB.US,ARCBEST
ARCC.US,ARES CAPITAL
ARCI.US,APPLIANCE RECYCLING CENTERS OF AMERICA
ARCW.US,ARC GROUP WORLDWIDE
ARDM.US,ARADIGM
ARDX.US,ARDELYX
AREX.US,APPROACH RESOURCES
ARGS.US,ARGOS THERAPEUTICS
ARIA.US,ARIAD PHARMACEUTICALS
ARII.US,AMERICAN RAILCAR INDUSTRIES
ARIS.US,ARI NETWORK SERVICES
ARKR.US,ARK RESTAURANTS
ARLP.US,ALLIANCE RESOURCE PARTNERS
ARMH.US,ARM HOLDINGS
ARNA.US,ARENA PHARMACEUTICALS
AROW.US,ARROW FINANCIAL
ARQL.US,ARQULE
ARRS.US,ARRIS GROUP
ARRY.US,ARRAY BIOPHARMA
ARTNA.US,ARTESIAN RESOURCES
ARTW.US,ART'S-WAY MANUFACTURING
ARTX.US,AROTECH
ARWA.US,AROWANA
ARWAR.US,AROWANA
ARWAU.US,AROWANA
ARWAW.US,AROWANA
ARWR.US,ARROWHEAD RESEARCH
ASBB.US,ASB BANCORP
ASBI.US,AMERIANA BANCORP
ASCMA.US,ASCENT CAPITAL GROUP
ASEI.US,AMERICAN SCIENCE & ENGINEERING
ASET.US,FLEXSHARES REAL ASSETS ALLOCATION INDEX FUND
ASFI.US,ASTA FUNDING
ASMB.US,ASSEMBLY BIOSCIENCES
ASML.US,ASML HOLDING
ASNA.US,ASCENA RETAIL GROUP
ASND.US,ASCENDIS PHARMA A/S
ASPS.US,ALTISOURCE PORTFOLIO SOLUTIONS
ASRV.US,AMERISERV FINANCIAL
ASRVP.US,AMERISERV FINANCIAL
ASTC.US,ASTROTECH
ASTE.US,ASTEC INDUSTRIES
ASTI.US,ASCENT SOLAR TECHNOLOGIES
ASUR.US,ASURE SOFTWARE
ASYS.US,AMTECH SYSTEMS
ATAI.US,ATA
ATAX.US,AMERICA FIRST MULTIFAMILY INVESTORS
ATEA.US,ASTEA INTERNATIONAL
ATEC.US,ALPHATEC HOLDINGS
ATHN.US,ATHENAHEALTH
ATHX.US,ATHERSYS
ATLC.US,ATLANTICUS HOLDINGS
ATLO.US,AMES NATIONAL
ATML.US,ATMEL
ATNI.US,ATLANTIC TELE-NETWORK
ATNY.US,API TECHNOLOGIES
ATOS.US,ATOSSA GENETICS
ATRA.US,ATARA BIOTHERAPEUTICS
ATRC.US,ATRICURE
ATRI.US,ATRION
ATRM.US,ATRM HOLDINGS
ATRO.US,ASTRONICS
ATRS.US,ANTARES PHARMA
ATSG.US,AIR TRANSPORT SERVICES GROUP
ATTU.US,ATTUNITY
ATVI.US,ACTIVISION BLIZZARD
AUBN.US,AUBURN NATIONAL BANCORPORATION
AUDC.US,AUDIOCODES
AUMA.US,AR CAPITAL ACQUISITION
AUMAU.US,AR CAPITAL ACQUISITION
AUMAW.US,AR CAPITAL ACQUISITION
AUPH.US,AURINIA PHARMACEUTICALS
AVAV.US,AEROVIRONMENT
AVEO.US,AVEO PHARMACEUTICALS
