EVY.US,EATON VANCE NEW YORK MUNICIPAL INCOME TRUST
FAX.US,ABERDEEN ASIA-PACIFIC INCOME FUND
FCO.US,ABERDEEN GLOBAL INCOME FUND
FEN.US,FIRST TRUST ENERGY INCOME AND GROWTH FUND
FPP-WS.US,FIELDPOINT PETROLEUM CORPORATI
FPP.US,FIELDPOINT PETROLEUM
FRD.US,FRIEDMAN INDUSTRIES
FSI.US,FLEXIBLE SOLUTIONS INT
FSP.US,FRANKLIN STREET PROPERTIES
FTF.US,FRANKLIN DURATION INCOME TRUST
FWV.US,FIRST WEST VIRGINIA BANCORP
GBR.US,NEW CONCEPT ENERGY
GGN.US,GAMCO GLOBAL GOLD NATURAL RESOURCES & INCOME TRUST
GGN_B.US,GAMCO GLOBAL GOLD, NATURAL REOURCES & INCOME TRUST
GIG.US,GIGOPTIX
GLO.US,CLOUGH GLOBAL OPPORTUNITIES FUND
GLOW.US,GLOWPOINT
GLQ.US,CLOUGH GLOBAL EQUITY FUND
GLU.US,GABELLI GLOBAL UTILITY & INCOME TRUST
GLU_A.US,THE GABELLI GLOBAL UTILITY AND INCOME TRUST
GLV.US,CLOUGH GLOBAL ALLOCATION FUND
GMO.US,GENERAL MOLY
GORO.US,GOLD RESOURCE
GPL.US,GREAT PANTHER SILVER
GRC.US,GORMAN-RUPP COMPANY
GRF.US,EAGLE CAPITAL GROWTH FUND
GRH.US,GREENHUNTER RESOURCES
GRH_C.US,GREENHUNTER RESOURCES
GSAT.US,GLOBALSTAR
GSB.US,GLOBALSCAPE
GSS.US,GOLDEN STAR RESOURCES
GST.US,GASTAR EXPLORATION
GST_A.US,GASTAR EXPLORATION
GST_B.US,GASTAR EXPLORATION
GSV.US,GOLD STANDARD VENTURES
GTE.US,GRAN TIERRA ENERGY
GTU.US,CENTRAL GOLDTRUST
GV.US,GOLDFIELD
GVP.US,GSE SYSTEMS
HCHC.US,HC2 HOLDINGS
HEB.US,HEMISPHERX BIOPHARMA
HH.US,HOOPER HOLMES
HLM_.US,HILLMAN GROUP CAPITAL TRUST
HLTH.US,NOBILIS HEALTH
HMG.US,HMG/COURTLAND PROPERTIES
HNW.US,PIONEER DIVERSIFIED HIGH INCOME TRUST
HRT.US,ARRHYTHMIA RESEARCH TECHNOLOGY
HTM.US,US GEOTHERMAL
HUSA.US,HOUSTON AMERICAN ENERGY
IAF.US,ABERDEEN AUSTRALIA EQUITY FUND
IBIO.US,IBIO
IBO.US,IBO
IDI.US,IDI
IDN.US,INTELLICHECK MOBILISA
IEC.US,IEC ELECTRONICS
IF.US,ABERDEEN INDONESIA FUND
IFMI.US,INSTITUTIONAL FINANCIAL MARKETS
IGC-WS.US,INDIA GLOBALIZATION CAPITAL In
IGC.US,INDIA GLOBALIZATION CAPITAL
IHT.US,INNSUITES HOSPITALITY TRUST
IMH.US,IMPAC MORTGAGE HOLDINGS
IMO.US,IMPERIAL OIL
IMUC.US,IMMUNOCELLULAR THERAPEUTICS
INFU.US,INFUSYSTEMS HOLDINGS
INS.US,INTELLIGENT SYSTEMS
INTT.US,INTEST
INUV.US,INUVO
IOT.US,INCOME OPPORTUNITY REALTY INVESTORS
IPB.US,MERRILL LYNCH
IRT.US,INDEPENDENCE REALTY TRUST
ISDR.US,ISSUER DIRECT
ISL.US,ABERDEEN ISRAEL FUND
ISR.US,ISORAY
ITI.US,ITERIS
JOB.US,GENERAL EMPLOYMENT ENTERPRISES
JRS.US,NUVEEN REAL ESTATE INCOME FUND
KIQ.US,KELSO TECHNOLOGIES
KLDX.US,KLONDEX MINES
LAQ.US,ABERDEEN LATIN AMERICA EQUITY FUND
LBMH.US,LIBERATOR MEDICAL HOLDINGS
LBY.US,LIBBEY
LEI.US,LUCAS ENERGY
LEU.US,CENTRUS ENERGY
LGL-WS.US,LGL GROUP Inc WARRANT TO PURCH
LGL.US,LGL GROUP
LIQT.US,LIQTECH INT
LNG.US,CHENIERE ENERGY
LODE.US,COMSTOCK MINING
LOV.US,SPARK NETWORKS
LSG.US,LAKE SHORE GOLD
LTS.US,LADENBURG THALMANN FINANCIAL SERVICES
LTS_A.US,LADENBURG THALMANN FINANCIAL SERVICES
MAB.US,EATON VANCE MASSACHUSETTS MUNICIPAL BOND FUND
MCF.US,CONTANGO OIL & GAS
MCZ.US,MAD CATZ INTERACTIVE
MDGN-WS.US,MEDGENICS Inc WARRANT (EXPIRIN
MDGN.US,MEDGENICS
MGH.US,MINCO GOLD
MGN.US,MINES MANAGEMENT
MGT.US,MGT CAPITAL INVESTMENTS
MHE.US,BLACKROCK MASSACHUSETTS TAX-EXEMPT TRUST
MHH.US,MASTECH HOLDINGS
MHR_C.US,MAGNUM HUNTER RESOURCES
MHR_D.US,MAGNUM HUNTER RESOURCES
MHR_E.US,MAGNUM HUNTER RESOURCES
MIW.US,EATON VANCE MICHIGAN MUNICIPAL BOND FUND
MJCO.US,MAJESCO
MLSS.US,MILESTONE SCIENTIFIC
MMV.US,EATON VANCE MASSACHUSETTS MUNICIPAL INCOME TRUST
MOC.US,COMMAND SECURITY
MSN.US,EMERSON RADIO
MSTX.US,MAST THERAPEUTICS
MVF.US,BLACKROCK MUNIVEST FUND
MVG.US,MAG SILVER
MXC.US,MEXCO ENERGY
MZA.US,BLACKROCK MUNIYIELD ARIZONA FUND
NAK.US,NORTHERN DYNASTY MINERALS
NAVB.US,NAVIDEA BIOPHARMACEUTICALS
NBH.US,NEUBERGER BERMAN INTERMEDIATE MUNICIPAL FUND
NBO.US,NEUBERGER BERMAN NEW YORK INTERMEDIATE MUNICIPAL FUND
NBW.US,NEUBERGER BERMAN CALIFORNIA INTERMEDIATE MUNICIPAL FUND
NBY.US,NOVABAY PHARMACEUTICALS
NCB.US,NUVEEN CALIFORNIA MUNICIPAL VALUE FUND 2
NCQ.US,NOVACOPPER
NEN.US,NEW ENGLAND REALTY ASSOCIATES
NG.US,NOVAGOLD RESOURCES
NGD.US,NEW GOLD
NHC.US,NATIONAL HEALTHCARE
NHS.US,NEUBERGER BERMAN HIGH YIELD STRATEGIES FUND
NJV.US,NUVEEN NEW JERSEY MUNICIPAL VALUE FUND
NML.US,NEUBERGER BERMAN MLP INCOME FUND
NMZ.US,NUVEEN MUNICIPAL HIGH INCOME OPPORTUNITY FUND
NNVC.US,NANOVIRICIDES
NOG.US,NORTHERN OIL AND GAS
NOM.US,NUVEEN MISSOURI PREMIUM INCOME MUNICIPAL FUND
NPN.US,NUVEEN PENNSYLVANIA MUNICIPAL VALUE FUND
