17GK.UK,MEGAFON A
DP3A.UK,DOWNING THREE VCT
DP3C.UK,DOWNING THREE VCT
DP3D.UK,DOWNING THREE VCT
DP3E.UK,DOWNING THREE VCT
DP3F.UK,DOWNING THREE VCT
DP3H.UK,DOWNING THREE VCT
DP3J.UK,DOWNING THREE VCT
DPA.UK,DP AIRCRAFT I
DPH.UK,DECHRA PHARMACEUTICALS
DPLM.UK,DIPLOMA
DPP.UK,DP POLAND
DQE.UK,DQ ENTERTAINMENT
DREF.UK,DUET REAL ESTATE FINANCE
DRG.UK,DRAGANFLY INVESTMENTS
DRIP.UK,DRUM INCOME PLUS REIT
DRS.UK,DRS DATA AND RESEARCH SERVICES
DRTY.UK,DARTY
DRV.UK,DRIVER GROUP
DRX.UK,DRAX GROUP
DSC.UK,DEVELOPMENT SECURITIES
DSG.UK,DILLISTONE GROUP
DSN.UK,DENSITRON TECHNOLOGIES
DTC.UK,DATATEC
DTG.UK,DART GROUP
DTY.UK,DIGNITY
DUKE.UK,DUKE ROYALTY
DUPD.UK,DRAGON-UKRAINIAN PROPERTIES & DEVELOPMENT
DVO.UK,DEVRO
DVW.UK,DEE VALLEY GROUP
DVWA.UK,DEE VALLEY GROUP
DWCG.UK,DW CATALYST FUND
DWCU.UK,DW CATALYST FUND
DWHA.UK,DEWHURST
DWHT.UK,DEWHURST
DX_.UK,DX GROUP
E2V.UK,E2V TECHNOLOGIES
EAH.UK,ECO ANIMAL HEALTH GROUP
EAS.UK,ENERGY ASSETS GROUP
EAT.UK,EUROPEAN ASSETS TRUST
EBIV.UK,EASTBRIDGE INVESTMENTS
EBQ.UK,EBIQUITY
ECAP.UK,ELEPHANT CAPITAL
ECEL.UK,EUROCELL
ECK.UK,ECKOH
ECM.UK,ELECTROCOMPONENTS
ECR.UK,ECR MINERALS
ECV.UK,ECO CITY VEHICLES
ECWO.UK,ECOFIN WATER & POWER OPPORTUNITIES
ECWZ.UK,ECOFIN WATER & POWER OPPORTUNITIES
EDEN.UK,EDEN RESEARCH
EDG.UK,EDGE RESOURCES
EDGC.UK,EDGE PERFORMANCE VCT
EDGD.UK,EDGE PERFORMANCE VCT
EDGE.UK,EDGE PERFORMANCE VCT
EDGF.UK,EDGE PERFORMANCE VCT
EDGG.UK,EDGE PERFORMANCE VCT
EDGH.UK,EDGE PERFORMANCE VCT
EDGI.UK,EDGE PERFORMANCE VCT
EDIN.UK,EDINBURGH INVESTMENT TRUST
EDL.UK,EDENVILLE ENERGY
EDP.UK,ELECTRONIC DATA PROCESSING
EDR.UK,EGDON RESOURCES
EDV.UK,ELDERSTREET DOWNING VCT
EEP.UK,EASTERN EUROPEAN PROPERTY FUND
EFM.UK,EDINBURGH DRAGON TRUST
EGI.UK,ELECTRICAL GEODESICS
EGIC.UK,ELECTRICAL GEODESICS IN
EGS.UK,EG SOLUTIONS
EHG.UK,ELEGANT HOTELS GROUP
EHP.UK,EPISTEM HOLDINGS
EIH.UK,EIH
EIIB.UK,EUROPEAN ISLAMIC INVESTMENT BANK
EKF.UK,EKF DIAGNOSTICS HOLDINGS
EKT.UK,ELEKTRON TECHNOLOGY
ELA.UK,ELAND OIL & GAS
ELCO.UK,ELECOSOFT
ELE.UK,ELECTRIC WORD
ELLA.UK,ECCLESIASTICAL INSURANCE OFFICE
ELM.UK,ELEMENTIS
ELTA.UK,ELECTRA PRIVATE EQUITY
ELTZ.UK,ELECTRA PRIVATE EQUITY
ELX.UK,EL ORO
EMAN.UK,EVERYMAN MEDIA GROUP
EME.UK,EMPYREAN ENERGY
EMED.UK,EMED MINING PUBLIC LD
EMG.UK,MAN GROUP
EMH.UK,EUROPEAN METALS HOLDINGS
EMIS.UK,EMIS GROUP
EMM.UK,EMERGING MARKET MINERALS
EMR.UK,EMPRESARIA GROUP
ENEG.UK,ENEGI OIL
ENER.UK,UBS
ENGI.UK,ENERGISER INVESTMENTS
ENQ.UK,ENQUEST
ENRG.UK,UBS ETC ENERGY GBP
ENRT.UK,ENVIRONMENTAL RECYCLING TECHNOLOGIES
ENTU.UK,ENTU UK
EOG.UK,EUROPA OIL & GAS HOLDINGS
EPG.UK,EP GLOBAL OPPORTUNITIES TRUST
EPIC.UK,EDISTON PROPERTY INVESTMENT
EPO.UK,EARTHPORT
EPWN.UK,EPWIN GROUP
EQN.UK,EQUINITI GROUP
ERET.UK,EUROPEAN REAL ESTATE INVESTMENT TRUST
ERGO.UK,ERGOMED
ERM.UK,EUROMONEY INSTITUTIONAL INVESTOR
ESCH.UK,ESCHER GROUP HOLDINGS
ESG.UK,ESERVGLOBAL
ESNT.UK,ESSENTRA
ESO.UK,EPE SPECIAL OPPORTUNITIES
ESP.UK,EMPIRIC STUDENT PROPERTY
ESR.UK,ENSOR HOLDINGS
ESS.UK,ESSENDEN
ESSE.UK,UBS ETC ESSENCE EUR
ESSU.UK,UBS ETC ESSENCE USD
ESUR.UK,ESURE GROUP
ETI.UK,ENTERPRISE INNS
ETO.UK,ENTERTAINMENT ONE
ETQ.UK,ENERGY TECHNIQUE
ETX.UK,E-THERAPEUTICS
ET_.UK,ESTABLISHMENT INVESTMENT TRUST
EUA.UK,EURASIA MINING
EURP.UK,ETFS LONG EUR SHORT USD
EUSP.UK,EU SUPPLY
EUT.UK,EUROPEAN INVESTMENT TRUST
EVG.UK,EVGEN PHARMA
EVO.UK,EVOCUTIS
EVR.UK,EVRAZ
EWG.UK,EUROPEAN WEALTH GROUP
EWI.UK,EDINBURGH WORLDWIDE INVESTMENT TRUST
EXI.UK,EXILLON ENERGY
EXO.UK,EXOVA GROUP
EXPN.UK,EXPERIAN
EYE.UK,EAGLE EYE SOLUTIONS GROUP
EZH.UK,EASYHOTEL
EZJ.UK,EASYJET
FAIC.UK,FAIR OAKS INCOME FUND
FAIR.UK,FAIR OAKS INCOME FUND
FAM.UK,FINNAUST MINING
FAN.UK,VOLUTION GROUP
FARN.UK,FARON PHARMACEUTICALS OY
FAS.UK,FIDELITY ASIAN VALUES
FAST.UK,FASTNET EQUITY
FBDU.UK,FLYING BRANDS
FBH.UK,FBD HOLDINGS
FBT.UK,FORBIDDEN TECHNOLOGIES
FCCN.UK,FRENCH CONNECTION GROUP
FCI.UK,F&C CAPITAL & INCOME INVESTMENT TRUST PL
FCIF.UK,FUNDING CIRCLE SME INCOME FUND
FCPT.UK,F&C COMMERCIAL PROPERTY TRUST
FCR.UK,FERRUM CRESCENT
FCRE.UK,F&C UK REAL ESTATE INVESTMENT
FCRM.UK,FULCRUM UTILITY SERVICES
FCRU.UK,ETFS LONGER DATED WTI CRUDE OIL
FCS.UK,F&C GLOBAL SMALLER COMPANIES
FCSS.UK,FIDELITY CHINA SPECIAL SITUATIONS
FDBK.UK,FEEDBACK
FDEV.UK,FRONTIER DEVELOPMENTS
FDI.UK,FIRESTONE DIAMONDS
FDL.UK,FINDEL
FDM.UK,FDM GROUP HOLDINGS
FDP.UK,FIRST DERIVATIVES
FDSA.UK,FIDESSA GROUP
FEET.UK,FUNDSMITH EMERGING EQUITIES TRUST
FEN.UK,FRENKEL TOPPING GROUP
FENR.UK,FENNER
FEV.UK,FIDELITY EUROPEAN VALUES
FEVR.UK,FEVERTREE DRINKS
FFWD.UK,FAST FORWARD INNOVATIONS
FFX.UK,FAIRFX GROUP
FFY.UK,FYFFES
FGP.UK,FIRSTGROUP
FGT.UK,FINSBURY GROWTH & INCOME TRUST
FIF.UK,FINSBURY FOOD GROUP
FIPP.UK,FRONTIER IP GROUP
FISH.UK,FISHING REPUBLIC
FITB.UK,FITBUG HOLDINGS
FJET.UK,FASTJET
FJV.UK,FIDELITY JAPANESE VALUES
FJVS.UK,FIDELITY JAPANESE VALUES
FKE.UK,FISKE
FKL.UK,FALKLAND ISLANDS HOLDINGS
FLEG.UK,UBS ETC CMSP GBP
FLK.UK,FLETCHER KING
FLO.UK,FLOWTECH FLUIDPOWER
FLOW.UK,FLOWGROUP
FLX.UK,FALANX GROUP
FLYB.UK,FLYBE GROUP
FMPG.UK,F&C MANAGED PORTFOLIO TRUST
FMPI.UK,F&C MANAGED PORTFOLIO TRUST
FOG.UK,FALCON OIL & GAS
FOGL.UK,FALKLAND OIL & GAS
FOOG.UK,UBS ETC FOOD GBP
FOUR.UK,4IMPRINT GROUP
FOX.UK,FOX MARBLE HOLDINGS
FOXT.UK,FOXTONS GROUP
FPEO.UK,F&C PRIVATE EQUITY TRUST
FPM.UK,FAROE PETROLEUM
FPO.UK,FIRST PROPERTY GROUP
FQM.UK,FIRST QUANTUM MINERALS
FRCL.UK,FOREIGN & COLONIAL INVESTMENT TRUST
FRES.UK,FRESNILLO
FRI.UK,FRONTIER RESOURCES INT
FRM.UK,FORMATION GROUP
FRO.UK,FRONTLINE LD
FRP.UK,FAIRPOINT GROUP
FRR.UK,FRONTERA RESOURCES
FRX.UK,FERREX
FSFL.UK,FORESIGHT SOLAR FUND
FSJ.UK,JAMES FISHER & SONS
FSTA.UK,FULLER SMITH & TURNER
FSV.UK,FIDELITY SPECIAL VALUES
FTC.UK,FILTRONIC
FTD.UK,FORESIGHT 3 VCT
FTE.UK,FORTE ENERGY NL
FTF.UK,FORESIGHT 4 VCT
FTFC.UK,FORESIGHT 4 VCT
FTN.UK,FORESIGHT 2 VCT
FTNI.UK,FORESIGHT 2 VCT
FTNP.UK,FORESIGHT 2 VCT
FTSC.UK,FORESIGHT SOLAR VCT
FTSV.UK,FORESIGHT SOLAR VCT
FTV.UK,FORESIGHT VCT
FTVI.UK,FORESIGHT VCT
FTVP.UK,FORESIGHT VCT
FUL.UK,THE FULHAM SHORE
FUM.UK,FUTURA MEDICAL
FUTR.UK,FUTURE
FXI.UK,FUSIONEX INT
FXPO.UK,FERREXPO
G4M.UK,GEAR4MUSIC HOLDINGS
GACA.UK,GENERAL ACCIDENT
GACB.UK,GENERAL ACCIDENT
GAH.UK,GABLE HOLDINGS
GAL.UK,GALANTAS GOLD
GAMA.UK,GAMMA COMMUNICATIONS
GAME.UK,GAMEACCOUNT NETWORK
GASG.UK,SG ETN NATGAS GBP
GAW.UK,GAMES WORKSHOP GROUP
GBAU.UK,ETFS LONG AUD SHORT GBP
GBCA.UK,ETFS LONG CAD SHORT GBP
GBCH.UK,ETFS LONG CHF SHORT GBP
GBG.UK,GB GROUP
GBGR.UK,GOLDBRIDGES GLOBAL RESOURCES
GBJP.UK,ETFS LONG JPY SHORT GBP
GBNO.UK,ETFS LONG NOK SHORT GBP
GBNZ.UK,ETFS LONG NZD SHORT GBP
GBO.UK,GLOBO
GBP.UK,GLOBAL PETROLEUM
GBPP.UK,ETFS LONG GBP SHORT USD
GBUR.UK,ETFS LONG EUR SHORT GBP
GBUS.UK,ETFS LONG USD SHORT GBP
GCL.UK,GEIGER COUNTER
GCM.UK,GCM RESOURCES
GCP.UK,GCP INFRASTRUCTURE INVESTMENTS
GDG.UK,GREEN DRAGON GAS
GDL.UK,GREKA DRILLING
GDP.UK,GOLDPLAT
GDWN.UK,GOODWIN
GEC.UK,GENERAL ELECTRIC
GED.UK,GLOBAL ENERGY DEVELOPMENT
GEEC.UK,GREAT EASTERN ENERGY
GEL.UK,GREKA ENGINEERING & TECHNOLOGY
GEM.UK,GEMFIELDS
GEMD.UK,GEM DIAMONDS
GENL.UK,GENEL ENERGY
GFIN.UK,GFINITY
GFIR.UK,GLOBAL FIXED INCOME REALISATION
GFM.UK,GRIFFIN MINING
GFRD.UK,GALLIFORD TRY
GFS.UK,G4S
GFTU.UK,GRAFTON GROUP
GGP.UK,GREATLAND GOLD
GHE.UK,GRESHAM HOUSE
GHG.UK,GEORGIA HEALTHCARE GROUP
GHH.UK,GOOCH & HOUSEGO
GHS.UK,GRESHAM HOUSE STRATEGIC
GHT.UK,GRESHAM COMPUTING
GINV.UK,GLOBAL INVACOM GROUP
GIPO.UK,GRAND GROUP INVESTMENT
GKN.UK,GKN
GKO.UK,GREENKO GROUP
GKP.UK,GULF KEYSTONE PETROLEUM
GLAF.UK,GLI ALTERNATIVE FINANCE
GLB.UK,GLANBIA
GLDG.UK,UBS ETC GOLD GBP
GLE.UK,MJ GLEESON
GLEN.UK,GLENCORE
GLIF.UK,GLI FINANCE
GLIZ.UK,GLI FINANCE
GLOO.UK,GLOO NETWORKS
GLR.UK,GALILEO RESOURCES
GLS.UK,GALASYS
GMAA.UK,GAMA AVIATION
GMC.UK,GLOBAL MARKET GROUP
GMD.UK,GAME DIGITAL
GMR.UK,GAMING REALMS
GMS.UK,GULF MARINE SERVICES
GNC.UK,GREENCORE GROUP
GNG.UK,GEONG INT
GNI.UK,GENERAL INDUSTRIES
GNK.UK,GREENE KING
GNS.UK,GENUS
GOAL.UK,GOALS SOCCER CENTRES
GOG.UK,GO-AHEAD GROUP
GOLE.UK,SOCIETE GENERALE EFFEKTEN GMBH
GOOD.UK,GOOD ENERGY GROUP
GPE.UK,GRAPHITE ENTERPRISE TRUST
GPM.UK,GOLDEN PROSPECT PRECIOUS METALS
GPOR.UK,GREAT PORTLAND ESTATES
GPRT.UK,GOLDENPORT HOLDINGS
GPX.UK,GULFSANDS PETROLEUM
GRA.UK,GRAFENIA
GRG.UK,GREGGS
GRI.UK,GRAINGER
GRIO.UK,GROUND RENTS INCOME FUND
GRIT.UK,GLOBAL RESOURCES INVESTMENT TRUST
GRL.UK,GOLDSTONE RESOURCES
GRN.UK,GREEN REIT
GRPH.UK,GRAPHENE NANOCHEM
GSK.UK,GLAXOSMITHKLINE
GSR.UK,GOLDEN ST RESOURCES
GSS.UK,GENESIS EMERGING MARKETS FUND
GTC.UK,GETECH GROUP
GTLY.UK,GATELEY HOLDINGS
GTS.UK,GTS CHEMICAL HOLDINGS
GUS.UK,GUSBOURNE
GUSC.UK,GUSCIO
GVC.UK,GVC HOLDINGS
GVP.UK,GABELLI VALUE PLUS + TRUST
GWI.UK,GLOBALWORTH REAL ESTATE INVESTMENTS
GWIK.UK,GLENWICK
GWMO.UK,GREAT WESTERN MINING
GWP.UK,GW PHARMACEUTICALS
GYM.UK,THE GYM GROUP
HAIK.UK,HAIKE CHEMICAL GROUP
HAL.UK,HALOSOURCE
HALO.UK,HALOSOURCE
HALP.UK,HALIFAX
HAN.UK,HANSA TRUST
HANA.UK,HANSA TRUST
HAS.UK,HAYS
HAST.UK,HENDERSON ALTERNATIVE ST
HAT.UK,H&T GROUP
HAWK.UK,NIGHTHAWK ENERGY
HAYD.UK,HAYDALE GRAPHENE INDUSTRIES
HAYT.UK,HAYWARD TYLER GROUP
HBRN.UK,HIBERNIA REIT
HCFT.UK,HIGHCROFT INVESTMENTS
HCL.UK,HELLENIC CARRIERS
HCM.UK,HUTCHISON CHINA MEDITECH
HCP.UK,HOTEL
HDD.UK,HARDIDE
HDIV.UK,HENDERSON DIVERSIFIED INCOME
HDT.UK,HOLDERS TECHNOLOGY
HDY.UK,HARDY OIL & GAS
HEAD.UK,HEADLAM GROUP
HEFT.UK,HENDERSON EUROPEAN FOCUS TRUST
HER.UK,HERENCIA RESOURCES
HFD.UK,HALFORDS GROUP
HFEL.UK,HENDERSON FAR EAST INCOME
HFG.UK,HILTON FOOD GROUP
HGG.UK,HENDERSON GROUP
HGL.UK,HENDERSON GLOBAL TRUST
HGM.UK,HIGHLAND GOLD MINING
HGT.UK,HG CAPITAL TRUST
HHI.UK,HENDERSON HIGH INCOME TRUST
HHV.UK,HARGREAVE HALE AIM VCT 1
HHVT.UK,HARGREAVE HALE AIM VCT 2
HICL.UK,HICL INFRASTRUCTURE COMPANY LD
HIK.UK,HIKMA PHARMACEUTICALS
HILS.UK,HILL & SMITH HOLDINGS
HINT.UK,HENDERSON INT INCOME TRUST
HKLB.UK,HONGKONG LAND HOLDINGS
HKLD.UK,HONGKONG LAND HOLDINGS
HKLJ.UK,HONGKONG LAND HOLDINGS
HLCL.UK,HELICAL BAR
HLMA.UK,HALMA
HL_.UK,HARGREAVES LANSDOWN
HMI.UK,HARVEST MINERALS
HMLH.UK,HML HOLDINGS
HMSO.UK,HAMMERSON
HNE.UK,HENDERSON EUROTRUST
HNL.UK,HAGUE & LONDON OIL
HNR.UK,HIGHLANDS NATURAL RESOUR
HNT.UK,HUNTSWORTH
HOC.UK,HOCHSCHILD MINING
HOME.UK,HOME RETAIL GROUP
HON.UK,HONEYWELL INT INCORPORATED
HOT.UK,HENDERSON OPPORTUNITIES TRUST
HPAC.UK,HERMES PACIFIC INVESTMENTS
HR1A.UK,HAZEL RENEWABLE ENERGY VCT1
HR1O.UK,HAZEL RENEWABLE ENERGY VCT1
HR2A.UK,HAZEL RENEWABLE ENERGY VCT2
HR2O.UK,HAZEL RENEWABLE ENERGY VCT2
HRG.UK,HOGG ROBINSON GROUP
HRI.UK,HERALD INVESTMENT TRUST
HRN.UK,HORNBY
HSBA.UK,HSBC HOLDINGS
HSD.UK,HANSARD GLOBAL
HSL.UK,HENDERSON SMALLER COMPANIES INVESTMENT T
HSM.UK,SAMUEL HEATH & SONS
HSP.UK,HARGREAVES SERVICES
HSS.UK,HSS HIRE GROUP
HSTG.UK,HASTINGS GROUP HOLDINGS
HSTN.UK,HANSTEEN HOLDINGS
HSV.UK,HOMESERVE
HSW.UK,HOSTELWORLD GROUP
HSX.UK,HISCOX
HTG.UK,HUNTING
HTY.UK,HELLERMANNTYTON GROUP
HUM.UK,HUMMINGBIRD RESOURCES
HUN.UK,HUNTER RESOURCES
HUNT.UK,HUNTERS PROPERTY
HUR.UK,HURRICANE ENERGY
HUW.UK,HELIOS UNDERWRITING
HVE.UK,HAVELOCK EUROPA
HVN.UK,HARVEY NASH GROUP
HVO.UK,HVIVO
HVPE.UK,HARBOURVEST GLOBAL PRIVATE EQUITY
HVT.UK,HEAVITREE BREWERY
HVTA.UK,HEAVITREE BREWERY
HWC.UK,HIGHWAY CAPITAL
HWDN.UK,HOWDEN JOINERY GROUP
HWG.UK,HARWORTH GROUP
HYD.UK,HYDRO INT
HYDG.UK,HYDROGEN GROUP
HYF.UK,HIMALAYAN FUND
HYG.UK,HYGEA VCT
HYNS.UK,HAYNES PUBLISHING GROUP
HYR.UK,HYDRODEC GROUP
HZD.UK,HORIZON DISCOVERY GROUP
HZM.UK,HORIZONTE MINERALS
IAE.UK,ITHACA ENERGY
IAES.UK,IMPAX ASIAN ENVIRONMENTAL MARKETS
IAF.UK,365 AGILE GROUP
IAG.UK,INT CONSOLIDATED AIRLINES GROUP
IAP.UK,ICAP
IAT.UK,INVESCO ASIA TRUST
IBEX.UK,IBEX GLOBAL SOLUTIONS
IBM.UK,INT BUSINESS MACHINES CORPORAT
IBPO.UK,IENERGIZER
IBSA.UK,IBIS MEDIA VCT 1
IBST.UK,IBSTOCK
IBT.UK,INT BIOTECHNOLOGY TRUST
ICGC.UK,IRISH CONTINENTAL GROUP
ICP.UK,INTERMEDIATE CAPITAL GROUP
ICTA.UK,INVESTORS CAPITAL TRUST
ICTB.UK,INVESTORS CAPITAL TRUST
ICTU.UK,INVESTORS CAPITAL TRUST
IDEA.UK,IDEAGEN
IDH.UK,IMMUNODIAGNOSTIC SYSTEMS HOLDINGS
IDHC.UK,INTEGRATED DIAGNOSTICS HOLDINGS
IDOX.UK,IDOX
IEH.UK,INTELLIGENT ENERGY HOLDINGS
IEM.UK,IMPAX ENVIRONMENTAL MARKETS
IERE.UK,INVISTA EUROPEAN REAL ESTATE TRUST SICAF
IERP.UK,INVISTA EUROPEAN REAL ESTATE TRUST SICAF
IFL.UK,INT FERRO METALS
IFP.UK,IFG GROUP
IGAS.UK,IGAS ENERGY
IGC.UK,INDIA CAPITAL GROWTH FUND
IGCS.UK,INDIA CAPITAL GROWTH FUND
IGE.UK,IMAGE SCAN HOLDINGS
IGG.UK,IG GROUP HOLDINGS
IGP.UK,INTERCEDE GROUP
IGR.UK,INT GREETINGS
IGV.UK,INCOME & GROWTH VCT
IHC.UK,INSPIRATION HEALTHCARE GROUP
IHG.UK,INTERCONTINENTAL HOTELS GROUP
IHUK.UK,IMPACT HOLDINGS UK
III.UK,3I GROUP
IIP.UK,INFRASTRUCTURE INDIA
IIT.UK,INDEPENDENT INVESTMENT TRUST
IKA.UK,ILIKA
IKK.UK,INCH KENNETH KAJANG RUBBER
IL0A.UK,PERMANENT TSB GROUP HOLDINGS
IME.UK,IMMEDIA GROUP
IMET.UK,S&P GSCI INDUSTRIAL METALS INDEX TR
IMG.UK,IMAGINATION TECHNOLOGIES GROUP
IMI.UK,IMI
IMIC.UK,INT MINING & INFRASTRUCTURE
IMM.UK,IMMUPHARMA
IMO.UK,IMIMOBILE
IMPT.UK,INDUSTRIAL MULTI PROPERTY TRUST
IMT.UK,IMPERIAL TOBACCO GROUP
IMTK.UK,IMAGINATIK
INB.UK,INTERBULK GROUP
INCH.UK,INCHCAPE
IND.UK,INDIGOVISION GROUP
INDI.UK,INDUS GAS
INDV.UK,INDIVIOR
INF.UK,INFORMA
INFA.UK,INFRASTRATA
INFI.UK,INFINIS ENERGY
INFT.UK,INFINITY ENERGY
INL.UK,INLAND HOMES
INLZ.UK,INLAND ZDP
INM.UK,INDEPENDENT NEWS & MEDIA
INPP.UK,INT PUBLIC PARTNERSHIPS
INS.UK,INSTEM
INSC.UK,INSPIRED CAPITAL
INSE.UK,INSPIRED ENERGY
INSP.UK,INSPIRIT ENERGY HOLDINGS
INTQ.UK,INTERNETQ
INTU.UK,INTU PROPERTIES
INV.UK,INVESTMENT COMPANY
INVP.UK,INVESTEC
INVR.UK,INVESTEC
IOF.UK,IOFINA
IOG.UK,INDEPENDENT OIL & GAS
IOM.UK,IOMART GROUP
ION1.UK,IONA ENVIRONMENTAL VCT
IONA.UK,IONA ENVIRONMENTAL VCT
IONB.UK,IONA ENVIRONMENTAL VCT
IPE.UK,INVESCO PERPETUAL ENHANCED INCOME
IPEL.UK,IMPELLAM GROUP
IPF.UK,INT PERSONAL FINANCE
IPI.UK,INVESCO PROPERTY INCOME TRUST LD
IPO.UK,IP GROUP
IPP.UK,IPPLUS
IPSA.UK,IPSA GROUP
IPU.UK,INVESCO PERPETUAL UK SMALLER COMPANIES INVESTMENT TRUST
IPX.UK,IMPAX ASSET MANAGEMENT GROUP
IQE.UK,IQE
IRF.UK,IRF EUROPEAN FINANCE INVESTMENTS
IRG.UK,INDEPENDENT RESOURCES
IRON.UK,IRONVELD
IRR.UK,IRONRIDGE RESOURCES
IRV.UK,INTERSERVE
ISAC.UK,ISHARES MSCI ACWI ETF
ISAT.UK,INMARSAT
ISG.UK,ISG
ISL.UK,IS SOLUTIONS
ISP.UK,INVESTEC STRUCTURED PRODUCTS CALCULUS VC
ISPC.UK,INVESTEC STRUCTURED PRODUCTS CALCULUS VC
ITE.UK,ITE GROUP
ITM.UK,ITM POWER
ITQ.UK,INTERQUEST GROUP
ITRK.UK,INTERTEK GROUP
ITV.UK,ITV
IVI.UK,INVESCO INCOME GROWTH TRUST
IVO.UK,IMPERIAL INNOVATIONS GROUP
IVPB.UK,INVESCO PERPETUAL SELECT TRUST
IVPG.UK,INVESCO PERPETUAL SELECT TRUST
IVPM.UK,INVESCO PERPETUAL SELECT TRUST
IVPU.UK,INVESCO PERPETUAL SELECT TRUST
IXI.UK,IXICO
JAI.UK,JPMORGAN ASIAN INVESTMENT TRUST
JAM.UK,JPMORGAN AMERICAN INVESTMENT TRUST
JAR.UK,JARDINE MATHESON HOLDINGS
JARB.UK,JARDINE MATHESON HOLDINGS LD
JCH.UK,JPMORGAN CLAVERHOUSE INVESTMENT TRUST
JDG.UK,JUDGES SCIENTIFIC
JDS.UK,JARDINE STRATEGIC HOLDINGS
JDSB.UK,JARDINE STRATEGIC HOLDIN
JDT.UK,JUPITER DIVIDEND & GROWTH TRUST
JDTC.UK,JUPITER DIVIDEND & GROWTH TRUST
JDTZ.UK,JUPITER DIVIDEND & GROWTH TRUST
JDW.UK,J D WETHERSPOON
JD_.UK,JD SPORTS FASHION
JEL.UK,JERSEY ELECTRICITY
JEMI.UK,JPMORGAN GLOBAL EMERGING MARKETS INCOME TRUST
JEO.UK,JUPITER EUROPEAN OPPORTUNITIES TRUST
JESC.UK,JPMORGAN EUROPEAN SMALLER COMPANIES TRUST
JETG.UK,JPMORGAN EUROPEAN INVESTMENT TRUST GROWTH
JETI.UK,JPMORGAN EUROPEAN INVESTMENT TRUST INCOME
JE_.UK,JUST EAT
JFJ.UK,JPMORGAN JAPANESE INVESTMENT TRUST
JGC.UK,JUPITER GREEN INVESTMENT TRUST
JGCI.UK,JPMORGAN GLOBAL CONVERTIBLES INCOME FUND
JHD.UK,JAMES HALSTEAD
JHDA.UK,JAMES HALSTEAD
JIGC.UK,JPMORGAN INCOME & GROWTH INVESTMENT TRUST
JIGI.UK,JPMORGAN INCOME & GROWTH INVESTMENT TRUST
JIGU.UK,JPMORGAN INCOME & CAPITAL INVESTMENT TRUST GEARED
JII.UK,JPMORGAN INDIAN INVESTMENT TRUST
JIL.UK,JURIDICA INVESTMENTS
JIM.UK,JARVIS SECURITIES
JKX.UK,JKX OIL & GAS
JLEN.UK,JOHN LAING ENVIRONMENTAL ASSETS GROUP
JLF.UK,JELF GROUP
JLG.UK,JOHN LAING GROUP
JLH.UK,JOHN LEWIS OF HUNGERFORD
JLIF.UK,JOHN LAING INFRASTRUCTURE FUND
JLP.UK,JUBILEE PLATINUM
JLT.UK,JARDINE LLOYD THOMPSON GROUP
JMAT.UK,JOHNSON MATTHEY
JMC.UK,JPMORGAN CHINESE INVESTMENT TRUST
JMF.UK,JPMORGAN MID CAP INVESTMENT TRUST
JMG.UK,JPMORGAN EMERGING MARKETS INVESTMENT TRUST
JMI.UK,JPMORGAN SMALLER COMPANIES INVESTMENT TRUST
JMIS.UK,JPMORGAN SMALLER COMPANIES INVESTMENT TRUST
JMO.UK,JPMORGAN OVERSEAS INVESTMENT TRUST
JMOS.UK,JPMORGAN OVERSEAS INVEST
JNY.UK,JOURNEY GROUP
JOG.UK,JERSEY OIL & GAS
JPB.UK,JPMORGAN BRAZIL INVESTMENT TRUST
JPE.UK,JPMORGAN ELECT MANAGED GROWTH
JPEC.UK,JPMORGAN ELECT MANAGED CASH
JPEI.UK,JPMORGAN ELECT MANAGED INCOME
JPEL.UK,JP MORGAN PRIVATE EQUITY
JPG.UK,JUPITER GLOBAL TRUST
JPGB.UK,ETFS SHORT JPY LONG GBP
JPI.UK,JPMORGAN INCOME & CAPITAL TRUST
JPIU.UK,JPMORGAN INCOME & CAPITAL TRUST
JPIZ.UK,JPMORGAN INCOME & CAPITAL TRUST
JPM.UK,JPMORGAN CHASE
JPR.UK,JOHNSTON PRESS
JPRL.UK,JUPITER ENERGY
JPS.UK,JPMORGAN JAPAN SMALLER COMPANIES TRUST
JPSL.UK,JP MORGAN SENIOR SECURED LOAN FUND
JPSS.UK,JPMORGAN JAPAN SMALLER COMPANIES TRUST
JPSZ.UK,JP MORGAN PRIVATE EQUITY
JPYP.UK,ETFS LONG JPY SHORT USD
JPZZ.UK,J.P. MORGAN PRIVATE EQUITY LD
JQW.UK,JQW
JRG.UK,JUST RETIREMENT GROUP
JRIC.UK,JAPAN RESIDENTIAL INVESTMENT
JRS.UK,JPMORGAN RUSSIAN SECURITIES
JSG.UK,JOHNSON SERVICE GROUP
JSI.UK,JIASEN INT HOLDINGS
JUB.UK,JUBILANT ENERGY N.V
JUP.UK,JUPITER FUND MANAGEMENT
JUS.UK,JUPITER US SMALLER COMPANIES
JUSC.UK,JPMORGAN US SMALLER COMPANIES INVESTMENT TRUST
JWNG.UK,JAYWING
JZCN.UK,JZ CAPITAL PARTNERS
JZCP.UK,JZ CAPITAL PARTNERS
JZCX.UK,JZ CAPITAL PARTNERS
JZCZ.UK,JZ CAPITAL PARTNERS
KAKU.UK,KAKUZI
KAY.UK,KINGS ARMS YARD VCT
