17GK.UK,MEGAFON A
APF.UK,ANGLO PACIFIC GROUP
APGN.UK,APPLEGREEN
APH.UK,ALLIANCE PHARMA
APR.UK,APR ENERGY
APT.UK,AXA PROPERTY TRUST
AQP.UK,AQUARIUS PLATINUM
ARBB.UK,ARBUTHNOT BANKING GROUP
ARC.UK,ARCONTECH GROUP
ARCH.UK,ARC CAPITAL HOLDINGS
ARDN.UK,ARDEN PARTNERS
ARG.UK,ARGOS RESOURCES
ARGO.UK,ARGO GROUP
ARGP.UK,ALPHA RETURNS GROUP
ARL.UK,ATLANTIS RESOURCES
ARM.UK,ARM HOLDINGS
ARMS.UK,BUMI
ARO.UK,ARRICANO REAL ESTATE
ARR.UK,AURORA INVESTMENT TRUST
ARS.UK,ASIAMET RESOURCES
ARTA.UK,ARTILIUM
ARTL.UK,ALPHA REAL TRUST
ARW.UK,ARROW GLOBAL GROUP
ASA.UK,ASA RESOURCE GROUP
ASBE.UK,ASSOCIATED BRITISH ENGINEERING
ASC.UK,ASOS
ASCH.UK,ABERDEEN SMALLER COMPANIES HIGH INCOME TRUST
ASH.UK,ASHLEY HOUSE
ASHM.UK,ASHMORE GROUP
ASL.UK,ABERFORTH SMALLER COMPANIES TRUST
ASPL.UK,ASEANA PROPERTIES
AST.UK,ASCENT RESOURCES
ASTO.UK,ASSETCO
ASY.UK,ANDREWS SYKES GROUP
AT2.UK,AMATI VCT 2
ATC.UK,ATLANTIC COAL
ATI.UK,AMATI VCT
ATIA.UK,ATIA GROUP LD
ATK.UK,WS ATKINS
ATMA.UK,ATLAS MARA
ATQT.UK,ATTRAQT GROUP
ATR.UK,ASIAN TR INVESTMENT
ATS.UK,ARTEMIS ALPHA TRUST
ATSS.UK,ARTEMIS ALPHA TRUST
ATST.UK,ALLIANCE TRUST
ATT.UK,ALLIANZ TECHNOLOGY TRUST
ATY.UK,ATHELNEY TRUST
ATYM.UK,ATALAYA MINING
AUCT.UK,AUCTUS GROWTH
AUDP.UK,ETFS LONG AUD SHORT USD
AUE.UK,AUREUS MINING
AUG.UK,AUGEAN
AUGB.UK,ETFS SHORT AUD LONG GBP
AUK.UK,AUKETT SWANKE GROUP
AUKT.UK,ABERDEEN UK TRACKER TRUST
AUM.UK,AURASIAN MINERALS
AUP3.UK,ETFS 3X LONG AUD SHORT GBP
AUR.UK,AURUM MINING
AURR.UK,AURORA RUSSIA
AUTO.UK,AUTO TRADER GROUP
AVA.UK,AVANTI CAPITAL
AVAP.UK,AVATION
AVCT.UK,AVACTA GROUP
AVG.UK,AVINGTRANS
AVM.UK,AVOCET MINING
AVN.UK,AVANTI COMMUNICATIONS GROUP
AVO.UK,ADVANCED ONCOTHERAPY
AVON.UK,AVON RUBBER
AVP.UK,ARMSTRONG VENTURES
AVR.UK,AVARAE GLOBAL COINS
AVS.UK,AVESCO GROUP
AVV.UK,AVEVA GROUP
AV_.UK,AVIVA
AV_A.UK,AVIVA
AV_B.UK,AVIVA
AXBA.UK,AXIS BANK
AXI.UK,AXIOM EUROPEAN FINANCIAL DEBT FUND
AXM.UK,ALEXANDER MINING
AXS.UK,ACCSYS TECHNOLOGIES
AYM.UK,ANGLESEY MINING
AZN.UK,ASTRAZENECA
AZO.UK,AZONTO PETROLEUM
B8F.UK,BIOFRONTERA
BA05.UK,MORGAN ADVANCED MATERIAL
BA29.UK,MORGAN ADVANCED MATERIAL
BA47.UK,CITY OF LONDON INVESTMEN
BA69.UK,CITY OF LONDON INVESTMEN
BAB.UK,BABCOCK INT GROUP
BABS.UK,BLUECREST ALLBLUE FUND
BABU.UK,BLUECREST ALLBLUE FUND
BAC.UK,BANK OF AMERICA
BACT.UK,BACIT
BAF.UK,BRITISH & AMERICAN INVESTMENT TRUST
BAG.UK,A.G.BARR
BAGR.UK,BAGIR GROUP
BAR.UK,ECLECTIC BAR GROUP
BARC.UK,BARCLAYS
BATS.UK,BRITISH AMERICAN TOBACCO
BAV.UK,BARONSMEAD VCT 5
BA_.UK,BAE SYSTEMS
BB39.UK,HENDERSON GLOBAL TRUST P
BB90.UK,JOHN LEWIS
BBA.UK,BBA AVIATION
BBGI.UK,BILFINGER BERGER GLOBAL INFRASTRUCTURE S
BBOX.UK,TRITAX BIG BOX REIT
BBTS.UK,BLUECREST BLUETREND
BBY.UK,BALFOUR BEATTY
BC12.UK,BETTER CAPITAL PCC
BC32.UK,JOHN LEWIS
BC88.UK,CHEMRING GROUP
BC94.UK,SAMSUNG ELECTRONICS
BCA.UK,BCA MARKETPLACE
BCAP.UK,BETTER CAPITAL PCC
BCB.UK,BCB HOLDINGS
BCGR.UK,BLUE CAPITAL GLOBAL REINSURANCE FUND
BCN.UK,BACANORA MINERALS
BCRE.UK,BRACK CAPITAL REAL ESTATE BV
BD15.UK,TATE & LYLE
BD32.UK,LEWIS PARTNERSHIP
BD45.UK,LEWIS PARTNERSHIP
BDEV.UK,BARRATT DEVELOPMENTS
BDI.UK,BOND INT SOFTWARE
BDV.UK,BARONSMEAD VCT
BEE.UK,BARING EMERGING EUROPE
BEEP.UK,BLACKROCK EMERGING EUROPE
BEG.UK,BEGBIES TRAYNOR GROUP
BEM.UK,BEOWULF MINING
BET.UK,BETFAIR GROUP
BEZ.UK,BEAZLEY
BFA.UK,BASF SE
BGEO.UK,BGEO GROUP
BGFD.UK,BAILLIE GIFFORD JAPAN TRUST
BGHL.UK,BOUSSARD & GAVAUDAN HOLDING
BGHS.UK,BOUSSARD & GAVAUDAN HOLDING
BGLF.UK,BLACKSTONE/GSO LOAN FI
BGO.UK,BANGO
BGS.UK,BAILLIE GIFFORD SHIN NIPPON
BG_.UK,BG GROUP
BHGG.UK,BH GLOBAL
BHGU.UK,BH GLOBAL
BHME.UK,BH MACRO
BHMG.UK,BH MACRO
BHMU.UK,BH MACRO
BHRD.UK,BE HEARD GROUP
BHY.UK,HENRY BOOT
BILB.UK,BILBY
BILL.UK,BILLING SERVICES GROUP
BILN.UK,BILLINGTON HOLDINGS
BIOG.UK,BIOTECH GROWTH TRUST
BIOM.UK,BIOME TECHNOLOGIES
BISI.UK,BISICHI MINING
BIST.UK,BLACKROCK INCOME STRATEGIES TRUST
BJU.UK,BRAINJUICER GROUP
BKG.UK,BERKELEY GROUP HOLDINGS
BKIC.UK,BANK OF IRELAND
BKIR.UK,BANK OF IRELAND
BKSA.UK,BLACK SEA PROPERTY FUND
BKY.UK,BERKELEY ENERGIA
BLEY.UK,CH BAILEY
BLND.UK,BRITISH LAND COMPANY
BLNX.UK,BLINKX
BLP.UK,BLUE PLANET INVESTMENT TRUST
BLT.UK,BHP BILLITON
BLU.UK,BLUE STAR CAPITAL
BLUR.UK,BLUR GROUP
BLV.UK,BELVOIR LETTINGS
BLVN.UK,BOWLEVEN
BMD.UK,BARONSMEAD VCT 3
BME.UK,B&M EUROPEAN VALUE RETAIL
BMK.UK,BENCHMARK HOLDINGS
BMN.UK,BUSHVELD MINERALS
BMR.UK,BMR MINING
BMS.UK,BRAEMAR SHIPPING SERVICES
BMT.UK,TF & JH BRAIME HOLDINGS
BMTO.UK,TF & JH BRAIME HOLDINGS
BMY.UK,BLOOMSBURY PUBLISHING
BNC.UK,BANCO SANTANDER
BNK.UK,BANKERS PETROLEUM
BNKR.UK,BANKERS INVESTMENT TRUST
BNR.UK,BLENHEIM NATURAL RESOURCES
BNS.UK,BARONSMEAD VCT 4
BNZL.UK,BUNZL
BOD.UK,BOTSWANA DIAMONDS
BOE.UK,BOEING
BOIL.UK,BARON OIL
BOK.UK,BOOKER GROUP
BON.UK,BONMARCHE HOLDINGS
BOO.UK,BOOHOO.COM
BOOM.UK,AUDIOBOOM GROUP
