ACP,ASSECOPOL
ALR,ALIOR
ATT,GRUPAAZOTY
BHW,HANDLOWY
BRS,BORYSZEW
BZW,BZWBK
CCC,CCC
CPS,CYFRPLSAT
ENA,ENEA
ENG,ENERGA
EUR,EUROCASH
GTC,GTC
ING,INGBSK
JSW,JSW
KER,KERNEL
KGH,KGHM
LPP,LPP
LTS,LOTOS
LWB,BOGDANKA
MBK,MBANK
OPL,ORANGEPL
PEO,PEKAO
PGE,PGE
PGN,PGNIG
PKN,PKNORLEN
PKO,PKOBP
PKP,PKPCARGO
PZU,PZU
SNS,SYNTHOS
TPE,TAURONPE
