8355.JP,THE SHIZUOKA BANK
8411.JP,MIZUHO FINANCIAL GROUP
8601.JP,DAIWA SECURITIES GROUP
8604.JP,NOMURA HOLDINGS
8628.JP,MATSUI SECURITIES
8630.JP,SOMPO JAPAN NIPPONKOA HOLDINGS
8725.JP,MS AD INSURANCE GROUP HOLDINGS
8729.JP,SONY FINANCIAL HOLDINGS
8750.JP,THE DAI ICHI LIFE INSURANCE COMPANY
8766.JP,TOKIO MARINE HOLDINGS
8795.JP,T D HOLDINGS
8801.JP,MITSUI FUDOSAN
8802.JP,MITSUBISHI ESTATE COMPANY
8804.JP,TOKYO TATEMONO
8830.JP,SUMITOMO REALTY DEVELOPMENT
9001.JP,TOBU RAILWAY
9005.JP,TOKYU
9007.JP,ODAKYU ELECTRIC RAILWAY
9008.JP,KEIO
9009.JP,KEISEI ELECTRIC RAILWAY
9020.JP,EAST JAPAN RAILWAY COMPANY
9021.JP,WEST JAPAN RAILWAY COMPANY
9022.JP,CENTRAL JAPAN RAILWAY COMPANY
9062.JP,NIPPON EXPRESS
9064.JP,YAMATO HOLDINGS
9101.JP,NIPPON YUSEN KABUSHIKI KAISHA
9104.JP,MITSUI O S K LINES
9107.JP,KAWASAKI KISEN KAISHA
9202.JP,ANA HOLDINGS
9301.JP,MITSUBISHI LOGISTICS
9412.JP,SKY PERFECT JSAT HOLDINGS
9432.JP,NIPPON TELEGRAPH AND TELEPHONE
9433.JP,KDDI
9437.JP,NTT DOCOMO
9501.JP,TOKYO ELECTRIC POWER COMPANY
9502.JP,CHUBU ELECTRIC POWER COMPANY
9503.JP,THE KANSAI ELECTRIC POWER COMPANY
9531.JP,TOKYO GAS
9532.JP,OSAKA GAS
9602.JP,TOHO
9613.JP,NTT DATA
9681.JP,TOKYO DOME
9735.JP,SECOM
9766.JP,KONAMI HOLDINGS
9983.JP,FAST RETAILING
9984.JP,SOFTBANK GROUP
